game,season,home,away
0021500858,2015,PHX,BKN
0021500859,2015,POR,HOU
0021500860,2015,UTA,SAS
0021500861,2015,IND,CHA
0021500862,2015,PHI,WAS
0021500863,2015,NYK,ORL
0021500864,2015,TOR,CLE
0021500865,2015,ATL,CHI
0021500866,2015,DAL,DEN
0021500867,2015,SAC,LAC
0021500868,2015,LAL,MEM
0021500869,2015,BOS,MIA
0021500870,2015,NOP,MIN
0021500871,2015,CHI,POR
0021500872,2015,HOU,SAS
0021500873,2015,MIL,DET
0021500874,2015,OKC,GSW
0021500875,2015,PHX,MEM
0021500876,2015,UTA,BKN
0021500877,2015,WAS,CLE
0021500878,2015,ATL,CHA
0021500879,2015,DET,TOR
0021500880,2015,IND,POR
0021500881,2015,ORL,PHI
